,RSS,_kAktDephos,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1Dephos_kcat,_kIRS1Dephos_km,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KDephos,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40PhosByAkt_kcat,_kPras40PhosByAkt_km,_kS6KPhosS229_kcat,_kS6KPhosS229_km,_kS6KT389Dephos,_kS6KT389Phos_kcat,_kS6KT389Phos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_pPI3K
495,14.3618,0.00011947200000000001,1014.79,8934.56,251.485,9421.2,0.00203904,2368.24,0.00401767,0.0001,7038.39,0.141408,8622.47,1834.16,8882.66,4086.56,5079.97,344.89599999999996,8605.63,815.8639999999999,0.00117116,6529.88,15.6682,4577.48
496,14.3624,0.00010046899999999999,1641.02,3200.93,72.0068,2693.39,0.0148351,9669.62,0.00469072,0.0001,5352.28,0.00511564,3012.34,1327.7,6425.97,1595.07,1336.32,4767.92,1824.68,7.86941,0.00011357799999999999,9766.13,4158.28,785.795
497,14.3625,0.0001,608.418,2143.32,171.39,6401.73,0.000208984,584.36,0.00431219,0.0001,3828.61,0.357362,8894.19,438.07099999999997,2121.84,5125.2,6948.96,1821.32,6020.34,103.634,0.000200547,7132.77,80.0483,1005.66
498,14.3625,0.000134703,7871.63,2358.08,58.315,2173.54,0.017679,4787.85,0.00429743,0.0001,2529.56,0.0356203,1370.81,353.205,1708.5,148.839,4449.23,3958.35,559.491,0.00150022,0.00169576,9986.68,2.93058,56.9961
499,14.3627,0.00010000100000000001,183.17700000000002,2125.07,40.1748,1493.56,0.000481918,6861.91,0.00408874,0.0001,567.154,0.000326371,1975.77,1306.48,6323.05,2664.48,278.33299999999997,1010.45,707.7689999999999,18.3055,0.000111576,1196.81,924.81,491.55300000000005
500,14.3628,0.00010000200000000001,568.66,7285.63,248.166,9278.01,0.00471522,6332.94,0.00416581,0.0001,6715.07,0.0310007,4747.7,474.881,2288.67,2828.58,7555.38,505.569,2328.91,142.862,0.000216135,247.27599999999998,0.717012,6430.79
501,14.3628,0.0001,1368.25,1723.84,15.151,560.68,0.00446503,595.182,0.0045187,0.0001,2180.49,0.000603683,910.6080000000001,1117.65,5385.46,182.347,139.15,214.463,8322.38,1244.53,0.00010945200000000001,386.593,52.6247,214.53
502,14.3636,0.000105581,98.9823,413.037,99.1796,3703.95,0.00402064,7437.82,0.00434223,0.0001,8736.04,0.166691,7511.6,1839.58,8974.48,213.981,160.535,1177.73,8085.55,223.232,0.00354031,1779.65,3.63466,2788.0
503,14.3637,0.0001,436.191,7547.7,20.4199,757.554,0.00011536299999999999,2054.28,0.00405809,0.0001,7593.78,0.14854,3162.76,1723.86,8357.64,1770.69,9323.03,4503.29,8784.21,58.7358,0.00010013100000000001,9849.55,10000.0,9865.05
504,14.3638,0.0001,2304.75,8715.64,253.08900000000003,9454.76,0.725158,1865.71,0.00731941,0.0001,9422.19,0.0630548,8825.14,2059.25,9882.99,3210.37,6657.46,801.6610000000001,6137.42,241.32299999999998,0.000101995,8012.61,851.3,2678.43
505,14.3639,0.000100277,2978.45,2074.32,196.104,7325.99,0.00046510400000000004,8283.93,0.00419002,0.0001,8261.8,0.261305,2596.25,2005.78,9751.56,337.61800000000005,1459.72,39.2413,9771.91,8124.03,0.000100771,10000.0,7356.25,432.901
