time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
49.655172	1.66212	0.811069	2.295103	1.08955	0.855262	1.0	2.292063	1.263837	2.589902	1.021653	2.003352	0.925804	1.058293	2.340087	1.637445	1.834134	2.077524	1.101248	1.0
53.793103	1.649162	0.803364	2.282583	1.100287	0.87278	1.0	2.295971	1.263284	2.614546	1.01626	2.012844	0.913378	1.052452	2.362299	1.682782	1.899181	2.069342	1.102252	1.0
57.931034	1.636204	0.795659	2.270063	1.111024	0.890297	1.0	2.299878	1.262731	2.639189	1.010868	2.022336	0.900951	1.046611	2.38451	1.728119	1.964228	2.061159	1.103255	1.0
62.068966	1.623352	0.788148	2.266124	1.109842	0.891335	1.0	2.295678	1.261448	2.655735	1.046349	2.022814	0.893389	1.043258	2.385983	1.762093	1.987238	2.052301	1.097182	1.0
66.206897	1.610607	0.780832	2.270766	1.096741	0.875892	1.0	2.283369	1.259434	2.664184	1.122704	2.014279	0.890691	1.042392	2.366717	1.784705	1.968211	2.042766	1.084032	1.0
70.344828	1.597861	0.773516	2.275409	1.08364	0.860449	1.0	2.271061	1.257421	2.672632	1.199059	2.005744	0.887993	1.041526	2.347452	1.807317	1.949185	2.033232	1.070882	1.0
74.482759	1.585115	0.766199	2.280051	1.070539	0.845005	1.0	2.258753	1.255407	2.681081	1.275414	1.997208	0.885295	1.040661	2.328186	1.829929	1.930158	2.023697	1.057731	1.0
78.62069	1.572369	0.758883	2.284694	1.057438	0.829562	1.0	2.246445	1.253394	2.689529	1.351769	1.988673	0.882597	1.039795	2.308921	1.85254	1.911131	2.014163	1.044581	1.0
82.758621	1.559624	0.751567	2.289336	1.044337	0.814119	1.0	2.234137	1.25138	2.697978	1.428123	1.980138	0.879899	1.038929	2.289655	1.875152	1.892105	2.004628	1.031431	1.0
86.896552	1.546878	0.74425	2.293979	1.031236	0.798676	1.0	2.221828	1.249367	2.706426	1.504478	1.971603	0.877201	1.038064	2.270389	1.897764	1.873078	1.995094	1.018281	1.0
91.034483	1.538474	0.737647	2.300355	1.02623	0.791636	1.0	2.216842	1.247452	2.70209	1.559168	1.967828	0.881888	1.038028	2.256971	1.925075	1.868422	1.989503	1.011263	1.0
95.172414	1.543095	0.733182	2.311932	1.04551	0.809806	1.0	2.233823	1.245833	2.659401	1.548859	1.978335	0.908731	1.040485	2.261094	1.966484	1.906877	1.995745	1.022641	1.0
99.310345	1.547716	0.728716	2.323509	1.064789	0.827976	1.0	2.250804	1.244214	2.616712	1.538551	1.988843	0.935574	1.042942	2.265217	2.007893	1.945333	2.001986	1.034019	1.0
103.448276	1.552338	0.724251	2.335086	1.084068	0.846146	1.0	2.267785	1.242595	2.574023	1.528242	1.99935	0.962417	1.045399	2.26934	2.049302	1.983788	2.008227	1.045397	1.0
107.586207	1.556959	0.719786	2.346663	1.103347	0.864316	1.0	2.284766	1.240976	2.531334	1.517934	2.009857	0.98926	1.047855	2.273464	2.090711	2.022243	2.014469	1.056775	1.0
111.724138	1.56158	0.715321	2.35824	1.122627	0.882486	1.0	2.301747	1.239358	2.488645	1.507625	2.020364	1.016102	1.050312	2.277587	2.132119	2.060699	2.02071	1.068153	1.0
115.862069	1.566202	0.710855	2.369817	1.141906	0.900656	1.0	2.318728	1.237739	2.445956	1.497317	2.030872	1.042945	1.052769	2.28171	2.173528	2.099154	2.026952	1.079531	1.0
120.0	1.570823	0.70639	2.381394	1.161185	0.918826	1.0	2.335709	1.23612	2.403266	1.487009	2.041379	1.069788	1.055225	2.285833	2.214937	2.137609	2.033193	1.090909	1.0
